id,nombre,partidos_jugados,partidos_titular,goles,asistencias,tarjeta_amarilla,edad,altura,valor,rating,posicion
10123,R. Sache,20,6,1,0,5,0,181.82076468465,6920.0,43,Mediocentro
10124,Adolfo Rosado,27,18,0,0,3,22,180.73540302304335,4930.0,40,MI
10125,Nene,3,1,0,0,2,24,163.0,41560.0,37,Mediocentro
10128,R. Amaya,31,29,8,1,6,21,180.7853409273881,10830.0,44,Delantero Centro
10129,Javi Blanco,12,4,0,0,0,22,180.73498626285058,916.65,36,Portero
10130,Anibal,6,2,0,0,0,22,180.73506137802505,1640.0,32,Portero
10131,Miguel,16,16,21,0,4,32,189.0,4030.000000000001,44,Portero
10132,Juanfran,6,5,10,0,1,29,180.39020327213427,5670.0,43,Portero
10133,D. Parejo,16,13,21,0,2,21,180.78452160240502,2940.0,37,Portero
10136,Juanan,33,30,0,0,6,27,180.48959413181603,12800.0,46,Defensa Central
10137,Mario,27,27,0,0,3,28,180.4394163490542,4590.0,40,Defensa Central
10138,Eloy,18,13,1,0,2,24,180.63676710539283,5070.0,39,Defensa Central
10139,Eugenio,13,10,0,0,7,34,180.1431773354315,1820.0,38,Defensa Central
10140,G. Badibanga,12,7,0,0,0,0,181.82014993130403,1000.0,26,Portero
10141,Parra,27,27,3,0,8,36,180.0,2330.0,45,Mediocentro Defensivo
10142,Juanfe,26,22,4,0,6,34,180.14333829281094,3370.0,44,Mediocentro Defensivo
10143,Zorita,25,23,1,0,9,0,181.82065876430997,5900.0,43,Mediocentro
10144,Miguel Macias,25,14,0,0,0,30,180.0,6500.0,42,Mediocentro
10145,A. Hernandez,29,21,1,0,3,0,181.82019977616991,1480.0,34,Mediocentro
10147,Bernabé,20,10,0,0,2,0,181.8206629180488,5940.0,39,Mediocentro
10149,C. Moreno,19,2,2,0,2,0,181.8203191961611,2630.0,38,Mediocentro
10150,F. Romo,18,5,2,0,1,0,181.82010449978563,562.5,30,MI
10151,Enrique,20,20,2,0,2,0,181.82110321436417,10180.0,44,Delantero Centro
10152,Kike Roldán,29,19,5,0,4,31,167.0,6280.0,42,Extremo Derecho
10153,Diosbert Rivero,25,19,8,0,8,24,192.0,4080.0,35,Delantero Centro
10154,Márquez,30,30,4,0,3,0,181.8201153150831,666.65,31,Portero
10155,Pablo Rodríguez,31,24,4,0,3,20,180.83364952767906,1040.0,37,Delantero Centro
10156,Mayande Sall,4,2,0,0,0,0,181.82014993130403,1000.0,25,CAD
10157,Marco,9,9,12,0,0,29,192.0,4960.0,42,Portero
10158,P. Luque,25,25,40,0,0,24,180.63656357219045,3110.0,34,Portero
10160,Jorge Carrión,32,31,1,0,9,23,180.68675277773409,11430.0,44,Defensa Central
10161,Y. Navarro,29,29,1,0,4,31,180.0,4890.0,45,Defensa Central
10162,P. Lluch,29,26,0,0,9,27,190.0,8700.0,45,Defensa Central
10163,Carlos Arias,14,11,0,0,2,34,175.0,7420.0,45,Lateral Izquierdo
10164,Galván,32,24,0,0,10,23,180.68647759253696,8780.0,42,Lateral Derecho
10168,Abraham,33,32,3,0,9,25,176.0,15670.0,46,MP
10169,S. Rivera,32,31,0,0,12,26,180.5385517537983,9260.0,42,Mediocentro
10170,Jon Estalayo,22,17,2,0,9,25,180.58771187054822,7670.0,41,Mediocentro
10171,Juanan,11,7,1,0,2,31,178.0,10010.0,43,Mediocentro Defensivo
10172,G. Peguero,21,8,3,0,4,24,180.63667053096518,4140.0,38,Delantero Centro
10173,Adri,32,19,2,0,5,29,175.0,9210.0,37,MI
10176,Jony,12,6,0,0,4,35,180.09375311046747,866.67,31,Mediocentro
10177,J. Morales,27,5,0,0,3,0,181.82014993130403,1000.0,25,Portero
10179,Chema Chávez,33,33,18,0,5,36,175.0,2740.0,50,Delantero Centro
10180,J. Bancalero,30,26,2,0,5,21,180.78468671352329,4530.0,39,Extremo Izquierdo
10181,Aroca,15,7,1,0,4,25,180.0,4700.0,38,Extremo Derecho
10182,Paquito,3,2,0,0,0,26,171.0,8410.0,40,Extremo Derecho
10183,V. Barroso,12,0,1,0,1,0,181.82014993130403,1000.0,25,Portero
10186,Javier,3,0,0,0,0,0,181.82014993130403,1000.0,25,Portero
10188,Marco,9,9,12,0,0,29,192.0,4960.0,42,Portero
10189,P. Luque,25,25,40,0,0,24,180.63656357219045,3110.0,34,Portero
10191,Jorge Carrión,32,31,1,0,9,23,180.68675277773409,11430.0,44,Defensa Central
10192,Y. Navarro,29,29,1,0,4,31,180.0,4890.0,45,Defensa Central
10193,P. Lluch,29,26,0,0,9,27,190.0,8700.0,45,Defensa Central
10194,Carlos Arias,14,11,0,0,2,34,175.0,7420.0,45,Lateral Izquierdo
10195,Galván,32,24,0,0,10,23,180.68647759253696,8780.0,42,Lateral Derecho
10199,Abraham,33,32,3,0,9,25,176.0,15670.0,46,MP
10200,S. Rivera,32,31,0,0,12,26,180.5385517537983,9260.0,42,Mediocentro
10201,Jon Estalayo,22,17,2,0,9,25,180.58771187054822,7670.0,41,Mediocentro
10202,Juanan,11,7,1,0,2,31,178.0,10010.0,43,Mediocentro Defensivo
10203,G. Peguero,21,8,3,0,4,24,180.63667053096518,4140.0,38,Delantero Centro
10204,Adri,32,19,2,0,5,29,175.0,9210.0,37,MI
10207,Jony,12,6,0,0,4,35,180.09375311046747,866.67,31,Mediocentro
10208,J. Morales,27,5,0,0,3,0,181.82014993130403,1000.0,25,Portero
10210,Chema Chávez,33,33,18,0,5,36,175.0,2740.0,50,Delantero Centro
10211,J. Bancalero,30,26,2,0,5,21,180.78468671352329,4530.0,39,Extremo Izquierdo
10212,Aroca,15,7,1,0,4,25,180.0,4700.0,38,Extremo Derecho
10213,Paquito,3,2,0,0,0,26,171.0,8410.0,40,Extremo Derecho
10214,V. Barroso,12,0,1,0,1,0,181.82014993130403,1000.0,25,Portero
10217,Javier,3,0,0,0,0,0,181.82014993130403,1000.0,25,Portero
10219,Mike,26,24,25,0,3,24,180.63669545339812,4380.0,37,Portero
10220,C. Ramallo,11,10,16,0,4,20,180.83410020834148,5380.0,41,Portero
10223,Álex Herrera,31,31,0,0,4,34,176.0,12970.0,48,Lateral Izquierdo
10224,Hormigo,23,21,1,0,7,29,180.3911222868491,14520.0,49,Lateral Derecho
10225,J. M. Barquero,23,23,1,0,3,24,180.63786992305066,15690.0,47,Defensa Central
10226,Christ Ahouzan,28,26,4,0,3,21,180.7844665653656,2410.0,37,Defensa Central
10227,Rarra,31,24,0,0,7,26,175.0,6510.0,42,Mediocentro
10228,Ragel,21,14,0,0,5,23,180.68639970993402,8029.999999999999,42,Defensa Central
10229,Rubén,14,11,0,0,0,23,180.68612660160633,5400.0,40,Defensa Central
10230,C. Gil,11,5,1,0,2,20,180.8339631349603,4060.0,38,Defensa Central
10232,A. Bannou,7,4,0,0,2,0,181.82014993130403,1000.0,32,Defensa Central
10233,Eloy,29,24,5,0,6,23,179.0,11930.0,42,Extremo Izquierdo
10234,Aarón Barroso,29,23,1,0,7,20,180.83361076083463,666.68,36,Mediocentro
10235,Rafa Casillas,14,12,0,0,4,20,180.83376375549673,2140.0,34,Lateral Izquierdo
10237,Cortés,12,4,0,0,1,22,180.73515068340976,2500.0,38,Mediocentro
10239,K. Morgan,27,20,0,0,5,21,180.78433156885382,1110.0,29,Mediocentro
10241,Juanito,32,18,9,0,11,31,180.29259748171216,15730.0,49,Delantero Centro
10242,Fran Santos,30,27,3,0,2,25,174.0,12250.0,42,Delantero Centro
10244,Piti,15,8,1,1,3,24,179.0,4850.0,39,Extremo Derecho
10245,Chiscano,24,15,4,0,3,22,180.7353272173098,4200.0,35,Delantero Centro
10247,Fernandez,27,12,1,0,2,23,180.68587218510336,2950.0,33,Delantero Centro
10249,Pau Segui,15,15,11,0,0,26,180.53838456581062,7650.0,43,Portero
10250,Jaime Morillas,19,19,21,0,0,20,185.0,3240.0,40,Portero
10251,J. Suasi,32,29,1,0,6,26,180.5396732632808,20060.0,49,Lateral Izquierdo
10252,Buades Collell,30,30,1,0,11,30,180.34194659357857,15960.0,48,Defensa Central
10253,Mateo,20,18,1,0,4,33,182.0,13400.0,49,Defensa Central
10254,Joan,29,26,2,0,9,27,180.49004585091316,17150.0,46,Defensa Central
10255,Toni Navarro,31,29,0,0,5,20,180.0,1980.0,41,Defensa Central
10259,M. Arrom,7,1,0,0,1,0,181.82010449978563,562.5,28,Portero
10264,P. Garcia,31,26,1,0,11,27,180.48997212204904,16440.0,47,Defensa Central
10265,Jaume Estrany,32,25,2,0,7,23,180.6869158119829,13000.0,42,Mediocentro
10266,Nico,28,14,0,0,7,31,176.0,13100.0,46,Mediocentro
10267,M. Bibiloni,32,24,1,0,5,0,181.82020808364757,1560.0,34,Portero
10269,A. Colom,3,0,0,0,0,19,180.8829359855875,666.65,33,Portero
10272,Campoy,24,4,0,0,4,32,176.0,5020.0,38,MP
10275,Mateo Ferrer,33,31,13,0,4,33,183.0,14930.0,47,Delantero Centro
10276,Jose A,32,27,4,0,1,29,180.39238710032106,26700.0,49,Delantero Centro
10277,Agustin Giaquinto,32,27,10,0,4,29,180.39035280673193,7110.0,40,Delantero Centro
10278,Joan,28,18,4,0,2,28,180.4406583169626,16550.0,44,Delantero Centro
10279,S. Martin,3,0,0,0,0,0,181.82012108358788,722.2,39,Delantero Centro
10280,Kike,26,8,3,0,3,28,180.44026890394787,12800.0,43,Extremo Derecho
10281,D. Santamaria,21,21,20,0,1,22,180.73507383924152,1760.0,37,Portero
10282,César Santos,13,13,19,0,0,22,180.7349689573362,750.0,30,Portero
10285,Ñete,33,33,6,0,8,21,182.0,12110.0,45,Defensa Central
10286,I. Vizcaino,22,20,1,0,2,23,180.6869116582441,12960.0,46,Defensa Central
10287,J. Montes,33,31,0,0,7,24,183.0,8080.0,41,Lateral Izquierdo
10288,Felipe Belmonte,19,17,2,0,4,34,173.0,5550.0,43,Defensa Central
10289,Plácido González,21,18,0,0,2,21,180.78465244517798,4200.0,40,Defensa Central
10290,Giraldo,25,15,0,0,7,27,180.48870315483828,4220.0,37,Defensa Central
10291,A. Puerto,18,3,0,0,4,0,181.82014993130403,1000.0,26,Portero
10293,S. Bermejo,4,0,0,0,0,0,181.82014993130403,1000.0,25,Portero
10294,J. Ruano,3,0,0,0,0,0,181.82014993130403,1000.0,25,Portero
10296,S. Flores,32,29,7,0,10,0,181.82045003893407,3890.0,46,Portero
10297,Brian Clemente,28,21,3,0,8,24,180.6369000250352,6350.0,42,Mediocentro
10298,Álvaro Doncel,24,20,0,0,7,22,180.73516833679977,2670.0,36,Delantero Centro
